time,X,Y,Z
2025-08-28 18:46:06.384,4.65,-4.57,7.11
2025-08-28 18:46:06.390,4.08,-7.92,6.32
2025-08-28 18:46:06.433,4.7,-8.61,5.26
2025-08-28 18:46:06.440,5.12,-7.6,5.04
2025-08-28 18:46:06.446,5.06,-6.58,5.51
2025-08-28 18:46:06.464,5.49,-5.21,5.67
2025-08-28 18:46:06.482,5.7,-4.45,5.68
2025-08-28 18:46:06.518,5.3,-5.18,5.36
2025-08-28 18:46:06.523,5.46,-5.47,5.62
2025-08-28 18:46:06.551,5.56,-5.36,6.0
2025-08-28 18:46:06.584,5.36,-5.43,5.72
2025-08-28 18:46:06.590,5.5,-5.24,5.75
2025-08-28 18:46:06.614,5.62,-5.27,5.86
2025-08-28 18:46:06.626,5.57,-5.12,5.77
2025-08-28 18:46:06.644,5.56,-5.3,5.81
2025-08-28 18:46:06.660,5.49,-5.32,5.81
2025-08-28 18:46:06.683,5.67,-5.44,5.76
2025-08-28 18:46:06.702,5.62,-5.7,5.75
2025-08-28 18:46:06.722,5.53,-5.26,5.58
2025-08-28 18:46:06.739,5.37,-5.04,5.63
2025-08-28 18:46:06.759,5.5,-5.21,5.48
2025-08-28 18:46:06.780,5.75,-5.43,5.56
2025-08-28 18:46:06.802,5.56,-5.47,5.62
2025-08-28 18:46:06.820,5.72,-5.7,5.59
2025-08-28 18:46:06.840,5.67,-5.54,5.84
2025-08-28 18:46:06.860,5.55,-5.66,5.61
2025-08-28 18:46:06.884,5.39,-5.47,5.66
2025-08-28 18:46:06.905,5.48,-4.88,5.68
2025-08-28 18:46:06.923,5.54,-4.91,5.57
2025-08-28 18:46:06.940,5.54,-4.6,5.36
2025-08-28 18:46:06.960,5.39,-4.65,5.34
2025-08-28 18:46:06.983,5.68,-4.82,5.07
2025-08-28 18:46:07.002,6.13,-5.61,4.6
2025-08-28 18:46:07.021,6.05,-6.56,4.51
2025-08-28 18:46:07.043,5.75,-7.62,4.28
2025-08-28 18:46:07.072,5.71,-8.39,3.8
2025-08-28 18:46:07.085,6.24,-8.38,2.73
2025-08-28 18:46:07.105,6.65,-8.76,1.98
2025-08-28 18:46:07.120,6.82,-9.36,1.89
2025-08-28 18:46:07.140,6.29,-8.76,1.85
2025-08-28 18:46:07.160,6.34,-7.01,1.88
2025-08-28 18:46:07.186,6.65,-6.34,1.31
2025-08-28 18:46:07.202,6.75,-6.47,1.13
2025-08-28 18:46:07.220,6.43,-6.5,1.51
2025-08-28 18:46:07.242,5.7,-6.9,2.43
2025-08-28 18:46:07.264,5.88,-7.11,2.34
2025-08-28 18:46:07.291,6.13,-6.91,2.17
2025-08-28 18:46:07.303,6.06,-6.7,2.28
2025-08-28 18:46:07.321,5.94,-6.81,2.37
2025-08-28 18:46:07.341,6.02,-7.01,2.43
2025-08-28 18:46:07.363,6.06,-7.88,1.55
2025-08-28 18:46:07.387,6.23,-8.43,1.73
2025-08-28 18:46:07.402,6.1,-8.08,1.66
2025-08-28 18:46:07.420,5.8,-7.69,1.68
2025-08-28 18:46:07.440,5.37,-8.17,2.43
2025-08-28 18:46:07.461,5.09,-8.75,2.33
2025-08-28 18:46:07.489,4.91,-8.79,1.86
2025-08-28 18:46:07.501,5.02,-8.64,1.91
2025-08-28 18:46:07.522,4.99,-8.01,1.95
2025-08-28 18:46:07.540,4.78,-7.49,1.97
2025-08-28 18:46:07.560,4.64,-7.52,2.08
2025-08-28 18:46:07.585,4.68,-8.28,1.99
2025-08-28 18:46:07.601,4.71,-8.44,1.86
2025-08-28 18:46:07.620,4.74,-8.8,1.93
2025-08-28 18:46:07.640,4.61,-8.54,1.82
2025-08-28 18:46:07.661,4.62,-8.27,1.81
2025-08-28 18:46:07.690,4.83,-7.64,1.93
2025-08-28 18:46:07.701,5.0,-7.34,2.03
2025-08-28 18:46:07.721,5.2,-7.66,2.14
2025-08-28 18:46:07.741,5.26,-8.24,2.29
2025-08-28 18:46:07.760,5.54,-8.54,2.77
2025-08-28 18:46:07.788,5.51,-8.83,2.66
2025-08-28 18:46:07.801,5.37,-8.65,2.59
2025-08-28 18:46:07.821,5.44,-7.86,2.61
2025-08-28 18:46:07.844,5.7,-7.17,2.65
2025-08-28 18:46:07.867,5.99,-6.98,2.77
2025-08-28 18:46:07.882,6.28,-7.14,2.99
2025-08-28 18:46:07.902,6.12,-7.29,2.97
2025-08-28 18:46:07.920,6.17,-6.86,2.79
2025-08-28 18:46:07.940,6.79,-6.42,2.54
2025-08-28 18:46:07.961,7.13,-6.42,2.45
2025-08-28 18:46:07.987,7.34,-6.57,2.38
2025-08-28 18:46:08.003,7.15,-6.84,2.59
2025-08-28 18:46:08.021,6.66,-6.86,2.57
2025-08-28 18:46:08.040,6.26,-6.76,2.42
2025-08-28 18:46:08.061,5.91,-6.56,2.59
2025-08-28 18:46:08.087,5.71,-6.52,2.33
2025-08-28 18:46:08.101,5.58,-6.54,2.46
2025-08-28 18:46:08.121,5.5,-7.12,2.89
2025-08-28 18:46:08.142,5.65,-7.65,2.95
2025-08-28 18:46:08.170,5.7,-7.72,2.92
