2025-08-28 17:23:13.298  6737-6737  GyroData                com.example.geunhwang                D  X: -0.35, Y: 1.80, Z: -0.12
2025-08-28 17:23:13.318  6737-6737  GyroData                com.example.geunhwang                D  X: -0.73, Y: 1.73, Z: -0.12
2025-08-28 17:23:13.344  6737-6737  GyroData                com.example.geunhwang                D  X: -0.50, Y: 1.57, Z: -0.11
2025-08-28 17:23:13.360  6737-6737  GyroData                com.example.geunhwang                D  X: 0.01, Y: 1.46, Z: -0.11
2025-08-28 17:23:13.378  6737-6737  GyroData                com.example.geunhwang                D  X: 0.34, Y: 1.28, Z: -0.19
2025-08-28 17:23:13.406  6737-6737  GyroData                com.example.geunhwang                D  X: 0.37, Y: 1.04, Z: -0.22
2025-08-28 17:23:14.104  6737-6737  GyroData                com.example.geunhwang                D  X: -0.59, Y: -1.41, Z: -0.01
2025-08-28 17:23:14.150  6737-6737  GyroData                com.example.geunhwang                D  X: -0.09, Y: -2.05, Z: 0.18
2025-08-28 17:23:14.151  6737-6737  GyroData                com.example.geunhwang                D  X: 0.01, Y: -2.00, Z: 0.22
2025-08-28 17:23:14.165  6737-6737  GyroData                com.example.geunhwang                D  X: 0.47, Y: -1.90, Z: 0.26
2025-08-28 17:23:14.179  6737-6737  GyroData                com.example.geunhwang                D  X: 0.33, Y: -1.59, Z: 0.27
2025-08-28 17:23:14.199  6737-6737  GyroData                com.example.geunhwang                D  X: -0.01, Y: -1.47, Z: 0.25
2025-08-28 17:23:14.288  6737-6737  GyroData                com.example.geunhwang                D  X: -0.35, Y: -1.48, Z: 0.20
2025-08-28 17:23:14.288  6737-6737  GyroData                com.example.geunhwang                D  X: -0.54, Y: -1.39, Z: 0.21
2025-08-28 17:23:14.289  6737-6737  GyroData                com.example.geunhwang                D  X: -0.42, Y: -1.25, Z: 0.09
2025-08-28 17:23:14.289  6737-6737  GyroData                com.example.geunhwang                D  X: -0.45, Y: -0.99, Z: 0.04
2025-08-28 17:23:14.306  6737-6737  GyroData                com.example.geunhwang                D  X: -0.53, Y: -0.97, Z: 0.00
2025-08-28 17:23:14.319  6737-6737  GyroData                com.example.geunhwang                D  X: -0.46, Y: -0.88, Z: -0.03
2025-08-28 17:23:14.351  6737-6737  GyroData                com.example.geunhwang                D  X: -0.35, Y: -0.45, Z: -0.05
2025-08-28 17:23:14.369  6737-6737  GyroData                com.example.geunhwang                D  X: -0.43, Y: 0.09, Z: -0.00
2025-08-28 17:23:14.385  6737-6737  GyroData                com.example.geunhwang                D  X: -0.30, Y: 0.33, Z: -0.00
2025-08-28 17:23:14.405  6737-6737  GyroData                com.example.geunhwang                D  X: 0.15, Y: 0.62, Z: -0.00
2025-08-28 17:23:14.422  6737-6737  GyroData                com.example.geunhwang                D  X: 0.51, Y: 1.36, Z: -0.05
2025-08-28 17:23:14.441  6737-6737  GyroData                com.example.geunhwang                D  X: 0.38, Y: 1.72, Z: -0.04
2025-08-28 17:23:14.461  6737-6737  GyroData                com.example.geunhwang                D  X: 0.27, Y: 1.93, Z: -0.09
2025-08-28 17:23:14.484  6737-6737  GyroData                com.example.geunhwang                D  X: 0.31, Y: 2.18, Z: -0.14
2025-08-28 17:23:14.508  6737-6737  GyroData                com.example.geunhwang                D  X: 0.52, Y: 2.26, Z: -0.22
2025-08-28 17:23:14.524  6737-6737  GyroData                com.example.geunhwang                D  X: 0.78, Y: 2.31, Z: -0.29
2025-08-28 17:23:14.540  6737-6737  GyroData                com.example.geunhwang                D  X: 0.96, Y: 2.42, Z: -0.39
2025-08-28 17:23:14.559  6737-6737  GyroData                com.example.geunhwang                D  X: 1.08, Y: 2.47, Z: -0.51
2025-08-28 17:23:14.589  6737-6737  GyroData                com.example.geunhwang                D  X: 0.92, Y: 2.64, Z: -0.57
2025-08-28 17:23:14.607  6737-6737  GyroData                com.example.geunhwang                D  X: 0.92, Y: 2.53, Z: -0.57
2025-08-28 17:23:14.622  6737-6737  GyroData                com.example.geunhwang                D  X: 0.36, Y: 2.67, Z: -0.51
2025-08-28 17:23:14.639  6737-6737  GyroData                com.example.geunhwang                D  X: 0.46, Y: 2.79, Z: -0.55
2025-08-28 17:23:14.659  6737-6737  GyroData                com.example.geunhwang                D  X: 0.43, Y: 2.97, Z: -0.52
2025-08-28 17:23:14.687  6737-6737  GyroData                com.example.geunhwang                D  X: 0.53, Y: 2.86, Z: -0.57
2025-08-28 17:23:14.704  6737-6737  GyroData                com.example.geunhwang                D  X: 0.48, Y: 2.73, Z: -0.56
2025-08-28 17:23:14.722  6737-6737  GyroData                com.example.geunhwang                D  X: -0.09, Y: 2.75, Z: -0.50
2025-08-28 17:23:14.739  6737-6737  GyroData                com.example.geunhwang                D  X: -0.42, Y: 2.61, Z: -0.50
2025-08-28 17:23:14.760  6737-6737  GyroData                com.example.geunhwang                D  X: -0.50, Y: 2.37, Z: -0.43
2025-08-28 17:23:14.781  6737-6737  GyroData                com.example.geunhwang                D  X: -0.42, Y: 2.26, Z: -0.40
2025-08-28 17:23:14.804  6737-6737  GyroData                com.example.geunhwang                D  X: -0.33, Y: 2.17, Z: -0.37
2025-08-28 17:23:14.819  6737-6737  GyroData                com.example.geunhwang                D  X: -0.26, Y: 2.09, Z: -0.35
2025-08-28 17:23:14.842  6737-6737  GyroData                com.example.geunhwang                D  X: -0.39, Y: 2.09, Z: -0.20
2025-08-28 17:23:14.859  6737-6737  GyroData                com.example.geunhwang                D  X: -0.22, Y: 2.08, Z: -0.16
2025-08-28 17:23:14.879  6737-6737  GyroData                com.example.geunhwang                D  X: -0.20, Y: 2.04, Z: -0.09
2025-08-28 17:23:14.904  6737-6737  GyroData                com.example.geunhwang                D  X: -0.28, Y: 1.98, Z: -0.05
2025-08-28 17:23:14.919  6737-6737  GyroData                com.example.geunhwang                D  X: -0.60, Y: 2.01, Z: 0.04
2025-08-28 17:23:14.941  6737-6737  GyroData                com.example.geunhwang                D  X: -0.43, Y: 2.02, Z: 0.00
