timestamp,ax,ay,az,gx,gy,gz
1757224903854,8.607155,3.0478187,3.169923,0.17470746,0.103847094,-0.019547688
1757224903854,8.607155,3.0478187,3.169923,0.67073005,0.06719518,-0.012217305
1757224903903,8.312668,2.5953147,2.4899697,0.67073005,0.06719518,-0.012217305
1757224903904,8.312668,2.5953147,2.4899697,-0.47525316,0.3555236,0.1282817
1757224903965,7.9702973,1.9393034,2.1930888,-0.47525316,0.3555236,0.1282817
1757224903965,7.9702973,1.9393034,2.1930888,-0.79168135,0.8405506,0.21991149
1757224904026,7.563283,2.7485435,2.9903579,-0.79168135,0.8405506,0.21991149
1757224904026,7.563283,2.7485435,2.9903579,-0.6731735,1.2852604,0.37507126
1757224904088,6.3661823,0.93134445,3.9360676,-0.6731735,1.2852604,0.37507126
1757224904088,6.3661823,0.93134445,3.9360676,-1.1203269,1.6163495,0.9578367
1757224904146,5.7365074,1.5729905,4.5322237,-1.1203269,1.6163495,0.9578367
1757224904147,5.7365074,1.5729905,4.5322237,-2.1331415,1.8692477,1.4856243
1757224904206,4.7668557,0.45489833,5.9519854,-2.1331415,1.8692477,1.4856243
1757224904207,4.7668557,0.45489833,5.9519854,-2.7977629,2.0476203,2.003638
1757224904265,4.000711,-4.7979803,7.1490865,-2.7977629,2.0476203,2.003638
1757224904266,4.000711,-4.7979803,7.1490865,-1.5625933,1.9816469,2.6083946
1757224904326,1.7788919,-3.371036,6.2009826,-1.5625933,1.9816469,2.6083946
1757224904327,1.7788919,-3.371036,6.2009826,-2.048842,2.180789,2.588847
1757224904386,-0.0047884034,-8.027759,8.655039,-2.048842,2.180789,2.588847
1757224904387,-0.0047884034,-8.027759,8.655039,-0.6939429,2.3591616,2.4410176
1757224904446,-1.0247183,-5.470751,8.4587145,-0.6939429,2.3591616,2.4410176
1757224904447,-1.0247183,-5.470751,8.4587145,-0.4972443,2.3066273,2.452013
1757224904506,-3.6631286,-8.104373,7.6853876,-0.4972443,2.3066273,2.452013
1757224904507,-3.6631286,-8.104373,7.6853876,-0.9896017,1.8191566,2.3200662
1757224904566,-5.7604494,-7.445967,7.2568254,-0.9896017,1.8191566,2.3200662
1757224904566,-5.7604494,-7.445967,7.2568254,-1.9327776,1.3133603,2.07572
1757224904625,-6.4188547,-6.5816603,5.5976434,-1.9327776,1.3133603,2.07572
1757224904627,-6.4188547,-6.5816603,5.5976434,-1.881465,1.2046263,2.1062634
1757224904684,-7.2831616,-6.373365,5.073313,-1.881465,1.2046263,2.1062634
1757224904686,-7.2831616,-6.373365,5.073313,0.058643065,1.2437216,1.971873
1757224904745,-8.595184,-6.6271505,4.0701427,0.058643065,1.2437216,1.971873
1757224904746,-8.595184,-6.6271505,4.0701427,-1.3976597,1.0433578,1.7837266
1757224904807,-9.241618,-6.033388,3.169923,-1.3976597,1.0433578,1.7837266
1757224904809,-9.241618,-6.033388,3.169923,-0.9786061,0.9407325,1.709201
1757224904865,-9.643845,-5.9926867,2.9759927,-0.9786061,0.9407325,1.709201
1757224904867,-9.643845,-5.9926867,2.9759927,-1.6823229,0.7452556,1.4159856
1757224904926,-8.832211,-6.3063273,3.1771057,-1.6823229,0.7452556,1.4159856
1757224904928,-8.832211,-6.3063273,3.1771057,-0.5656612,0.33964106,1.1594223
