time,X,Y,Z
2025-08-28 18:46:06.323,-3.24,1.54,-0.88
2025-08-28 18:46:06.329,-3.9,1.54,-1.19
2025-08-28 18:46:06.336,-3.08,1.14,-0.71
2025-08-28 18:46:06.380,-2.48,0.77,-0.6
2025-08-28 18:46:06.387,-2.26,0.46,-0.17
2025-08-28 18:46:06.392,-1.6,0.09,-0.04
2025-08-28 18:46:06.437,-0.47,0.09,-0.04
2025-08-28 18:46:06.444,0.22,0.11,-0.14
2025-08-28 18:46:06.447,0.63,0.12,-0.15
2025-08-28 18:46:06.467,0.81,0.06,-0.1
2025-08-28 18:46:06.485,0.51,0.07,0.0
2025-08-28 18:46:06.521,0.3,0.07,0.01
2025-08-28 18:46:06.526,0.31,0.06,0.05
2025-08-28 18:46:06.554,0.28,0.07,0.07
2025-08-28 18:46:06.587,0.25,0.0,0.05
2025-08-28 18:46:06.592,0.2,-0.02,0.05
2025-08-28 18:46:06.614,0.09,-0.01,0.03
2025-08-28 18:46:06.627,0.01,0.0,0.01
2025-08-28 18:46:06.645,-0.04,-0.02,-0.0
2025-08-28 18:46:06.661,-0.05,-0.05,-0.0
2025-08-28 18:46:06.688,-0.03,-0.03,-0.02
2025-08-28 18:46:06.702,-0.0,-0.04,-0.06
2025-08-28 18:46:06.723,-0.02,-0.02,-0.06
2025-08-28 18:46:06.740,-0.09,-0.04,-0.03
2025-08-28 18:46:06.760,-0.17,-0.06,-0.0
2025-08-28 18:46:06.781,-0.23,-0.1,0.01
2025-08-28 18:46:06.803,-0.27,-0.09,0.03
2025-08-28 18:46:06.820,-0.3,-0.1,0.0
2025-08-28 18:46:06.840,-0.28,-0.06,-0.02
2025-08-28 18:46:06.861,-0.29,-0.09,-0.0
2025-08-28 18:46:06.884,-0.37,-0.11,-0.02
2025-08-28 18:46:06.906,-0.55,-0.1,-0.01
2025-08-28 18:46:06.926,-0.8,-0.11,0.0
2025-08-28 18:46:06.941,-1.14,-0.12,0.0
2025-08-28 18:46:06.961,-1.54,-0.13,0.0
2025-08-28 18:46:06.984,-2.12,-0.22,0.04
2025-08-28 18:46:07.003,-2.44,-0.27,0.06
2025-08-28 18:46:07.022,-2.59,-0.29,0.08
2025-08-28 18:46:07.044,-2.55,-0.3,0.04
2025-08-28 18:46:07.073,-2.31,-0.3,0.0
2025-08-28 18:46:07.086,-2.1,-0.31,-0.1
2025-08-28 18:46:07.106,-1.59,-0.3,-0.16
2025-08-28 18:46:07.121,-0.92,-0.28,-0.15
2025-08-28 18:46:07.141,-0.39,-0.15,-0.17
2025-08-28 18:46:07.162,-0.29,-0.01,-0.2
2025-08-28 18:46:07.187,-0.29,0.17,-0.15
2025-08-28 18:46:07.204,-0.25,0.33,-0.04
2025-08-28 18:46:07.221,-0.15,0.38,0.02
2025-08-28 18:46:07.248,-0.03,0.26,0.11
2025-08-28 18:46:07.266,0.0,0.11,0.15
2025-08-28 18:46:07.293,-0.01,0.06,0.17
2025-08-28 18:46:07.304,-0.13,0.07,0.16
2025-08-28 18:46:07.322,-0.18,0.04,0.1
2025-08-28 18:46:07.342,-0.22,-0.05,0.1
2025-08-28 18:46:07.364,-0.23,-0.12,0.05
2025-08-28 18:46:07.388,-0.04,-0.07,-0.02
2025-08-28 18:46:07.403,0.09,-0.06,-0.08
2025-08-28 18:46:07.421,0.08,-0.1,-0.07
2025-08-28 18:46:07.442,-0.07,-0.14,-0.05
2025-08-28 18:46:07.462,-0.1,-0.14,-0.0
2025-08-28 18:46:07.490,-0.07,-0.07,0.03
2025-08-28 18:46:07.502,0.15,0.01,0.05
2025-08-28 18:46:07.522,0.29,0.07,0.08
2025-08-28 18:46:07.542,0.25,0.12,0.09
2025-08-28 18:46:07.562,0.05,0.12,0.04
2025-08-28 18:46:07.586,-0.09,0.1,-0.01
2025-08-28 18:46:07.602,-0.18,0.09,-0.06
2025-08-28 18:46:07.621,-0.13,0.13,-0.04
2025-08-28 18:46:07.641,0.01,0.21,-0.02
2025-08-28 18:46:07.663,0.18,0.29,0.0
2025-08-28 18:46:07.691,0.24,0.34,0.03
2025-08-28 18:46:07.701,0.13,0.4,0.05
2025-08-28 18:46:07.722,-0.05,0.43,0.02
2025-08-28 18:46:07.742,-0.18,0.4,-0.02
2025-08-28 18:46:07.762,-0.24,0.31,-0.08
