2025-08-28 18:17:25.504 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.02, Z: 0.00
2025-08-28 18:17:25.526 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.01, Z: -0.01
2025-08-28 18:17:25.549 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.01, Z: 0.02
2025-08-28 18:17:25.564 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.02, Z: 0.02
2025-08-28 18:17:25.583 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.04, Z: -0.01
2025-08-28 18:17:25.604 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.05, Z: 0.00
2025-08-28 18:17:25.623 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.00, Z: 0.06
2025-08-28 18:17:25.651 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.03, Z: 0.04
2025-08-28 18:17:25.664 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.04, Z: 0.02
2025-08-28 18:17:25.685 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.00, Z: 0.05
2025-08-28 18:17:25.703 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.01, Z: 0.04
2025-08-28 18:17:25.724 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.08, Z: 0.03
2025-08-28 18:17:25.745 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.08, Z: 0.04
2025-08-28 18:17:25.763 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.06, Z: 0.01
2025-08-28 18:17:25.784 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.06, Z: -0.04
2025-08-28 18:17:25.803 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.16, Z: -0.00
2025-08-28 18:17:25.824 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.20, Z: -0.03
2025-08-28 18:17:25.847 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: -0.17, Z: -0.03
2025-08-28 18:17:25.864 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: -0.12, Z: -0.05
2025-08-28 18:17:25.885 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.07, Z: -0.05
2025-08-28 18:17:25.904 11161-11161 AccelData               com.example.geunhwang                D  X: 0.05, Y: -0.09, Z: -0.09
2025-08-28 18:17:25.925 11161-11161 AccelData               com.example.geunhwang                D  X: 0.13, Y: -0.03, Z: -0.21
2025-08-28 18:17:25.953 11161-11161 AccelData               com.example.geunhwang                D  X: 0.06, Y: -0.08, Z: -0.17
2025-08-28 18:17:25.964 11161-11161 AccelData               com.example.geunhwang                D  X: 0.10, Y: -0.14, Z: -0.20
2025-08-28 18:17:25.985 11161-11161 AccelData               com.example.geunhwang                D  X: 0.13, Y: -0.22, Z: -0.20
2025-08-28 18:17:26.007 11161-11161 AccelData               com.example.geunhwang                D  X: 0.12, Y: -0.20, Z: -0.07
2025-08-28 18:17:26.037 11161-11161 AccelData               com.example.geunhwang                D  X: 0.09, Y: -0.03, Z: -0.03
2025-08-28 18:17:26.049 11161-11161 AccelData               com.example.geunhwang                D  X: 0.07, Y: 0.18, Z: -0.02
2025-08-28 18:17:26.065 11161-11161 AccelData               com.example.geunhwang                D  X: 0.05, Y: 0.21, Z: -0.05
2025-08-28 18:17:26.084 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.04, Z: -0.15
2025-08-28 18:17:26.105 11161-11161 AccelData               com.example.geunhwang                D  X: -0.11, Y: -0.32, Z: -0.15
2025-08-28 18:17:26.136 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.15, Z: -0.12
2025-08-28 18:17:26.145 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.14, Z: -0.04
2025-08-28 18:17:26.166 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.08, Z: -0.08
2025-08-28 18:17:26.184 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.15, Z: -0.05
2025-08-28 18:17:26.205 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.03, Z: 0.05
2025-08-28 18:17:26.235 11161-11161 AccelData               com.example.geunhwang                D  X: -0.06, Y: 0.11, Z: 0.09
2025-08-28 18:17:26.246 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.12, Z: 0.08
2025-08-28 18:17:26.266 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.02, Z: 0.04
2025-08-28 18:17:26.285 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.02, Z: 0.00
2025-08-28 18:17:26.306 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: 0.03
2025-08-28 18:17:26.329 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.02, Z: 0.01
2025-08-28 18:17:26.346 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.01, Z: 0.00
2025-08-28 18:17:26.366 11161-11161 AccelData               com.example.geunhwang                D  X: -0.05, Y: 0.04, Z: -0.02
2025-08-28 18:17:26.386 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.02, Z: -0.02
2025-08-28 18:17:26.406 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.02, Z: -0.05
2025-08-28 18:17:26.432 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.02, Z: -0.00
2025-08-28 18:17:26.447 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.05, Z: 0.06
2025-08-28 18:17:26.467 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.01, Z: 0.03
2025-08-28 18:17:26.488 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.04, Z: -0.02
2025-08-28 18:17:26.515 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.01, Z: 0.05
2025-08-28 18:17:26.526 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.02, Z: 0.06
2025-08-28 18:17:26.547 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.07, Z: -0.05
2025-08-28 18:17:26.568 11161-11161 AccelData               com.example.geunhwang                D  X: -0.08, Y: -0.08, Z: -0.07
2025-08-28 18:17:26.587 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.12, Z: -0.00
2025-08-28 18:17:26.606 11161-11161 AccelData               com.example.geunhwang                D  X: 0.08, Y: 0.11, Z: 0.03
2025-08-28 18:17:26.632 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: -0.06, Z: -0.04
2025-08-28 18:17:26.647 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.07, Z: -0.01
2025-08-28 18:17:26.666 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.06, Z: 0.01
2025-08-28 18:17:26.689 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.08, Z: 0.02
2025-08-28 18:17:26.712 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.08, Z: -0.08
2025-08-28 18:17:26.731 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.10, Z: -0.08
2025-08-28 18:17:26.748 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.03, Z: -0.02
2025-08-28 18:17:26.765 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.09, Z: 0.01
2025-08-28 18:17:26.789 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: 0.01
2025-08-28 18:17:26.813 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.02, Z: -0.05
2025-08-28 18:17:26.832 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.03, Z: -0.01
2025-08-28 18:17:26.847 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.04, Z: -0.01
2025-08-28 18:17:26.868 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.01, Z: -0.01
