timestamp,ax,ay,az,gx,gy,gz
1757748346531,-1.2234371,1.9536686,9.002198,-0.25900686,-0.058643065,-0.010995574
1757748346532,-1.2234371,1.9536686,9.002198,0.11362094,0.062308256,-0.1600467
1757748346532,-2.1068976,2.171541,8.695741,0.11362094,0.062308256,-0.1600467
1757748346532,-2.1068976,2.171541,8.695741,0.6792821,-0.10995574,0.15515977
1757748346552,-2.5306711,2.3319526,8.590396,0.6792821,-0.10995574,0.15515977
1757748346553,-2.5306711,2.3319526,8.590396,-0.9639453,-0.12217305,-0.018325957
1757748346570,-2.3463178,2.0853498,8.394072,-0.9639453,-0.12217305,-0.018325957
1757748346570,-2.3463178,2.0853498,8.394072,-0.8173377,-0.017104227,0.16982053
1757748346591,-2.2242134,0.8355764,8.331821,-0.8173377,-0.017104227,0.16982053
1757748346592,-2.2242134,0.8355764,8.331821,-0.93584555,0.02565634,0.18448131
1757748346611,-2.0805612,0.25139117,8.640674,-0.93584555,0.02565634,0.18448131
1757748346612,-2.0805612,0.25139117,8.640674,-0.61453044,0.16737708,0.19792034
1757748346632,-2.6527755,0.1364695,8.805874,-0.61453044,0.16737708,0.19792034
1757748346632,-2.6527755,0.1364695,8.805874,-0.28099802,0.28955013,0.23579398
1757748346652,-2.7581203,0.33039984,8.02297,-0.28099802,0.28955013,0.23579398
1757748346652,-2.7581203,0.33039984,8.02297,-0.2761111,0.4288274,0.29810223
1757748346671,-2.8275523,0.14604631,7.795521,-0.2761111,0.4288274,0.29810223
1757748346672,-2.8275523,0.14604631,7.795521,-0.38606682,0.5534439,0.28955013
1757748346693,-3.0190883,-0.30166942,7.7931266,-0.38606682,0.5534439,0.28955013
1757748346693,-3.0190883,-0.30166942,7.7931266,-0.59864795,0.6731735,0.25900686
1757748346713,-4.2544966,-0.019153614,8.173804,-0.59864795,0.6731735,0.25900686
1757748346714,-4.2544966,-0.019153614,8.173804,-0.7281514,0.79045963,0.27000242
1757748346732,-5.4563856,0.47884035,7.989451,-0.7281514,0.79045963,0.27000242
1757748346732,-5.4563856,0.47884035,7.989451,-0.9663888,0.91751957,0.36896262
1757748346754,-5.839458,0.33518824,6.9743094,-0.9663888,0.91751957,0.36896262
1757748346755,-5.839458,0.33518824,6.9743094,-1.5748106,1.001819,0.42760566
1757748346772,-5.559336,-1.1228806,6.3661823,-1.5748106,1.001819,0.42760566
1757748346773,-5.559336,-1.1228806,6.3661823,-2.252871,1.1655309,0.4288274
1757748346793,-6.114791,-2.2146366,6.5241995,-2.252871,1.1655309,0.4288274
1757748346793,-6.114791,-2.2146366,6.5241995,-2.6083946,1.4477507,0.40561453
1757748346814,-6.703765,-3.241749,7.026982,-2.6083946,1.4477507,0.40561453
1757748346815,-6.703765,-3.241749,7.026982,-2.4666739,1.8338175,0.3567453
1757748346833,-7.273585,-5.1020436,8.157045,-2.4666739,1.8338175,0.3567453
1757748346834,-7.273585,-5.1020436,8.157045,-2.0512855,2.2369885,0.37507126
1757748346855,-6.4906807,-5.130774,8.1642275,-2.0512855,2.2369885,0.37507126
