timestamp,ax,ay,az,gx,gy,gz
1757686884012,-0.48602295,4.900931,5.6982,-0.70738196,-0.2284636,-0.44715336
1757686884012,-0.48602295,4.900931,5.6982,0.0720821,-0.02565634,-0.36896262
1757686884013,-0.59376204,4.0198646,5.849035,0.0720821,-0.02565634,-0.36896262
1757686884013,-0.59376204,4.0198646,5.849035,0.6072,-0.013439035,0.096516706
1757686884019,-2.6647465,5.446809,5.4539914,0.6072,-0.013439035,0.096516706
1757686884019,-2.6647465,5.446809,5.4539914,-1.5210545,-0.017104227,0.52656585
1757686884038,-2.4229321,5.422867,5.9448028,-1.5210545,-0.017104227,0.52656585
1757686884038,-2.4229321,5.422867,5.9448028,-2.4373524,0.10873401,1.4844025
1757686884056,-1.5945383,3.5529952,5.509058,-2.4373524,0.10873401,1.4844025
1757686884056,-1.5945383,3.5529952,5.509058,-2.8820622,0.12583824,1.2266175
1757686884077,-3.6176388,4.4843397,6.421249,-2.8820622,0.12583824,1.2266175
1757686884078,-3.6176388,4.4843397,6.421249,-2.575408,0.16493362,1.7739527
1757686884096,-4.209007,4.721366,6.8641763,-2.575408,0.16493362,1.7739527
1757686884096,-4.209007,4.721366,6.8641763,-3.1838295,0.062308256,2.0647244
1757686884118,-5.0781016,4.465186,7.443573,-3.1838295,0.062308256,2.0647244
1757686884118,-5.0781016,4.465186,7.443573,-4.2137485,-0.06963864,2.4361305
1757686884139,-5.9687448,3.4955344,8.544906,-4.2137485,-0.06963864,2.4361305
1757686884139,-5.9687448,3.4955344,8.544906,-5.390275,-0.3042109,2.7488935
1757686884159,-5.011064,0.6512229,10.103531,-5.390275,-0.3042109,2.7488935
1757686884159,-5.011064,0.6512229,10.103531,-6.206391,-0.66828656,2.8930578
1757686884178,-4.924873,-2.7222073,12.133814,-6.206391,-0.66828656,2.8930578
1757686884179,-4.924873,-2.7222073,12.133814,-6.631553,-1.0580186,2.9578094
1757686884197,-5.592855,-4.2425256,11.429919,-6.631553,-1.0580186,2.9578094
1757686884198,-5.592855,-4.2425256,11.429919,-6.9846334,-1.6468927,2.968805
1757686884218,-6.505046,-5.149928,9.962274,-6.9846334,-1.6468927,2.968805
1757686884219,-6.505046,-5.149928,9.962274,-7.231423,-2.2785273,2.992018
1757686884239,-4.654328,-9.516952,9.746795,-7.231423,-2.2785273,2.992018
1757686884239,-4.654328,-9.516952,9.746795,-7.3743653,-2.9394836,2.538756
1757686884257,1.6807296,-16.07467,11.346122,-7.3743653,-2.9394836,2.538756
1757686884257,1.6807296,-16.07467,11.346122,-7.6333723,-3.712839,1.3878858
1757686884279,4.474763,-18.449718,10.572795,-7.6333723,-3.712839,1.3878858
1757686884279,4.474763,-18.449718,10.572795,-6.773274,-4.05248,0.6951646
1757686884298,5.0493712,-17.860744,6.9767036,-6.773274,-4.05248,0.6951646
1757686884298,5.0493712,-17.860744,6.9767036,-4.7342057,-4.1673226,0.09773844
1757686884321,6.9168487,-15.765819,6.0118403,-4.7342057,-4.1673226,0.09773844
1757686884321,6.9168487,-15.765819,6.0118403,-2.3371704,-3.940081,-0.49480084
1757686884337,8.760384,-14.324509,6.3566055,-2.3371704,-3.940081,-0.49480084
1757686884337,8.760384,-14.324509,6.3566055,-0.37507126,-3.31822,-0.83199847
1757686884358,8.118738,-13.692439,7.833828,-0.37507126,-3.31822,-0.83199847
1757686884359,8.118738,-13.692439,7.833828,1.2351695,-2.7097983,-1.0519099
1757686884379,6.9168487,-11.659762,6.0477533,1.2351695,-2.7097983,-1.0519099
1757686884379,6.9168487,-11.659762,6.0477533,2.1844542,-2.398257,-1.2241739
1757686884398,7.2113357,-11.080365,4.9583917,2.1844542,-2.398257,-1.2241739
1757686884398,7.2113357,-11.080365,4.9583917,3.0592132,-2.1600194,-1.2082914
1757686884417,6.9719152,-12.3277445,5.583278,3.0592132,-2.1600194,-1.2082914
1757686884418,6.9719152,-12.3277445,5.583278,3.4293976,-1.8497,-1.2962561
1757686884439,6.7372837,-11.757924,3.9600096,3.4293976,-1.8497,-1.2962561
1757686884439,6.7372837,-11.757924,3.9600096,3.3475416,-1.6982054,-1.6236799
1757686884457,7.309498,-11.197681,4.3406878,3.3475416,-1.6982054,-1.6236799
1757686884458,7.309498,-11.197681,4.3406878,3.7543778,-1.7776178,-1.6334536
1757686884477,6.5720835,-11.662156,5.8442464,3.7543778,-1.7776178,-1.6334536
1757686884478,6.5720835,-11.662156,5.8442464,3.6468656,-1.7996091,-1.6346754
1757686884497,5.9424086,-11.906365,5.662287,3.6468656,-1.7996091,-1.6346754
1757686884497,5.9424086,-11.906365,5.662287,3.1789427,-1.890017,-1.8558086
1757686884518,6.05733,-11.748347,4.548983,3.1789427,-1.890017,-1.8558086
1757686884518,6.05733,-11.748347,4.548983,3.145956,-2.0781636,-2.0867157
1757686884537,6.291962,-10.79785,3.4955344,3.145956,-2.0781636,-2.0867157
1757686884537,6.291962,-10.79785,3.4955344,3.562566,-2.2638667,-2.2198844
1757686884558,6.2249246,-8.623915,2.8323407,3.562566,-2.2638667,-2.2198844
1757686884559,6.2249246,-8.623915,2.8323407,3.6102135,-2.324953,-2.221106
1757686884578,6.301539,-6.631939,1.436521,3.6102135,-2.324953,-2.221106
1757686884579,6.301539,-6.631939,1.436521,3.395189,-2.3603833,-2.048842
1757686884600,6.26802,-6.4643445,0.45250413,3.395189,-2.3603833,-2.048842
1757686884601,6.26802,-6.4643445,0.45250413,3.2033772,-2.2272146,-2.0109684
1757686884619,4.829105,-5.422867,-0.81163436,3.2033772,-2.2272146,-2.0109684
1757686884620,4.829105,-5.422867,-0.81163436,2.7843237,-1.7079792,-1.8118263
1757686884641,3.7828386,-4.256891,-0.22984336,2.7843237,-1.7079792,-1.8118263
1757686884641,3.7828386,-4.256891,-0.22984336,3.0702088,-1.2522738,-1.3475688
1757686884659,3.1387985,-3.107674,0.61530983,3.0702088,-1.2522738,-1.3475688
1757686884660,3.1387985,-3.107674,0.61530983,3.3890803,-0.874759,-1.097114
1757686884680,3.1292217,-2.4420857,0.5530606,3.3890803,-0.874759,-1.097114
1757686884681,3.1292217,-2.4420857,0.5530606,3.241251,-0.6206391,-1.237613
1757686884698,3.6248214,-1.5634137,-0.30406362,3.241251,-0.6206391,-1.237613
1757686884699,3.6248214,-1.5634137,-0.30406362,2.6487117,-0.4642576,-1.4563028
1757686884719,4.5274353,0.7517793,-1.2737153,2.6487117,-0.4642576,-1.4563028
1757686884721,4.5274353,0.7517793,-1.2737153,1.7935003,-0.41538838,-1.4110987
1757686884739,4.9559975,2.930503,-1.0390835,1.7935003,-0.41538838,-1.4110987
1757686884740,4.9559975,2.930503,-1.0390835,1.0458013,-0.37751472,-1.1484267
1757686884760,5.0278234,3.0310593,-0.5267244,1.0458013,-0.37751472,-1.1484267
1757686884762,5.0278234,3.0310593,-0.5267244,0.2968805,-0.27122417,-0.9993755
1757686884779,5.899313,2.695871,-0.7517793,0.2968805,-0.27122417,-0.9993755
1757686884780,5.899313,2.695871,-0.7517793,-0.44348818,-0.3005457,-1.0225884
1757686884801,7.28795,3.0789435,-0.110133275,-0.44348818,-0.3005457,-1.0225884
1757686884804,7.28795,3.0789435,-0.110133275,-0.06719518,-0.44715336,-1.0348058
1757686884819,8.813056,4.1491513,0.94092125,-0.06719518,-0.44715336,-1.0348058
1757686884820,8.813056,4.1491513,0.94092125,0.24312437,-0.5925393,-1.0140363
1757686884840,10.364499,6.1387334,1.769315,0.24312437,-0.5925393,-1.0140363
1757686884841,10.364499,6.1387334,1.769315,0.17592919,-0.6267477,-0.9334021
1757686884859,11.836933,6.5265937,2.3870192,0.17592919,-0.6267477,-0.9334021
1757686884860,11.836933,6.5265937,2.3870192,0.18203785,-0.7098254,-0.77946407
1757686884880,13.864822,6.50744,3.095703,0.18203785,-0.7098254,-0.77946407
1757686884882,13.864822,6.50744,3.095703,-0.06352998,-0.8197812,-0.72326446
1757686884900,16.19917,7.7213006,3.430891,-0.06352998,-0.8197812,-0.72326446
1757686884902,16.19917,7.7213006,3.430891,-0.22724187,-0.8576548,-0.7330383
1757686884921,17.32205,7.5704656,4.43885,-0.22724187,-0.8576548,-0.7330383
1757686884922,17.32205,7.5704656,4.43885,-0.05131268,-0.8014552,-0.5216789
1757686884940,17.832014,6.6367273,4.1635165,-0.05131268,-0.8014552,-0.5216789
1757686884942,17.832014,6.6367273,4.1635165,-0.081855945,-0.81245077,-0.38240165
1757686884961,17.21431,5.3558292,4.0078936,-0.081855945,-0.81245077,-0.38240165
1757686884962,17.21431,5.3558292,4.0078936,-0.18081611,-0.625526,-0.2932153
1757686884979,15.148114,5.17387,3.4452562,-0.18081611,-0.625526,-0.2932153
1757686884981,15.148114,5.17387,3.4452562,-0.1282817,-0.36651915,-0.13683382
1757686885000,14.693215,4.757279,2.882619,-0.1282817,-0.36651915,-0.13683382
1757686885002,14.693215,4.757279,2.882619,0.3494149,-0.32986724,0.17837265
1757686885019,15.272613,3.028665,3.371036,0.3494149,-0.32986724,0.17837265
1757686885020,15.272613,3.028665,3.371036,1.1960741,-0.344528,0.50946164
1757686885041,13.295002,1.4437037,3.9025488,1.1960741,-0.344528,0.50946164
1757686885042,13.295002,1.4437037,3.9025488,1.7006488,0.09162979,0.74036866
1757686885060,10.702082,0.320823,3.9384618,1.7006488,0.09162979,0.74036866
1757686885062,10.702082,0.320823,3.9384618,1.9168952,0.47403142,0.9443977
1757686885080,9.289502,1.0079589,3.976769,1.9168952,0.47403142,0.9443977
1757686885082,9.289502,1.0079589,3.976769,1.8753563,0.54000485,1.1777482
