timestamp,ax,ay,az,gx,gy,gz
1757683376365,-1.2737153,1.4628572,9.976639,-0.24801129,0.02565634,0.02443461
1757683376365,-1.2737153,1.4628572,9.976639,0.15515977,0.06719518,-0.16249016
1757683376365,-1.5227122,1.2162545,9.921572,0.15515977,0.06719518,-0.16249016
1757683376365,-1.5227122,1.2162545,9.921572,0.657291,-0.11484267,0.22602014
1757683376382,-2.291251,1.7645266,10.235212,0.657291,-0.11484267,0.22602014
1757683376382,-2.291251,1.7645266,10.235212,-0.92485,-0.25534168,0.24190263
1757683376402,-3.1316159,1.9297266,10.508151,-0.92485,-0.25534168,0.24190263
1757683376403,-3.1316159,1.9297266,10.508151,-0.52656585,-0.27488935,0.5412266
1757683376424,-4.3287168,2.9400797,11.209652,-0.52656585,-0.27488935,0.5412266
1757683376424,-4.3287168,2.9400797,11.209652,-0.7819075,-0.49357912,0.90285885
1757683376443,-4.6040497,3.691859,11.382035,-0.7819075,-0.49357912,0.90285885
1757683376443,-4.6040497,3.691859,11.382035,-1.3439035,-0.7440339,1.2351695
1757683376463,-4.9943047,3.763685,11.865664,-1.3439035,-0.7440339,1.2351695
1757683376463,-4.9943047,3.763685,11.865664,-1.8887954,-1.0458013,1.6175711
1757683376483,-5.365406,2.5881321,11.858481,-1.8887954,-1.0458013,1.6175711
1757683376483,-5.365406,2.5881321,11.858481,-2.4312437,-1.3952162,1.9022343
1757683376503,-5.896919,2.7341783,11.137826,-2.4312437,-1.3952162,1.9022343
1757683376504,-5.896919,2.7341783,11.137826,-2.864958,-1.8057177,2.2137756
1757683376524,-4.378995,-0.7158663,11.987768,-2.864958,-1.8057177,2.2137756
1757683376525,-4.378995,-0.7158663,11.987768,-3.376863,-2.3677137,2.339614
1757683376545,-3.2082303,-3.5625722,14.53041,-3.376863,-2.3677137,2.339614
1757683376545,-3.2082303,-3.5625722,14.53041,-3.4929276,-2.4984388,2.0366247
1757683376564,-1.6065093,-2.9712043,16.862362,-3.4929276,-2.4984388,2.0366247
1757683376564,-1.6065093,-2.9712043,16.862362,-3.5564575,-2.886949,1.8484782
1757683376583,-0.7326257,-5.6527104,16.091429,-3.5564575,-2.886949,1.8484782
1757683376584,-0.7326257,-5.6527104,16.091429,-4.287052,-3.2937853,1.4379768
1757683376603,1.0702082,-9.888053,12.485762,-4.287052,-3.2937853,1.4379768
1757683376604,1.0702082,-9.888053,12.485762,-5.0555205,-3.8863246,0.40439278
1757683376626,4.1252093,-13.709199,10.383653,-5.0555205,-3.8863246,0.40439278
1757683376627,4.1252093,-13.709199,10.383653,-3.649309,-4.3664646,-0.4166101
1757683376646,5.923255,-12.579136,10.06283,-3.649309,-4.3664646,-0.4166101
1757683376647,5.923255,-12.579136,10.06283,-0.63041294,-4.5851545,-0.98349303
1757683376666,5.595249,-7.153875,9.054871,-0.63041294,-4.5851545,-0.98349303
1757683376666,5.595249,-7.153875,9.054871,1.9095647,-4.660902,-1.3023647
1757683376684,6.042965,-4.891354,6.0740895,1.9095647,-4.660902,-1.3023647
1757683376684,6.042965,-4.891354,6.0740895,3.023783,-4.721988,-1.473407
1757683376705,7.386112,-4.3023806,4.175488,3.023783,-4.721988,-1.473407
1757683376706,7.386112,-4.3023806,4.175488,2.960253,-4.356691,-1.7935003
1757683376725,8.4347725,-3.2441432,3.739743,2.960253,-4.356691,-1.7935003
1757683376725,8.4347725,-3.2441432,3.739743,2.8955014,-3.7836993,-1.9437732
1757683376745,8.882488,-2.5330653,3.3135753,2.8955014,-3.7836993,-1.9437732
1757683376746,8.882488,-2.5330653,3.3135753,2.5815165,-3.2522466,-1.9413297
1757683376766,9.89763,-2.9496565,3.2489316,2.5815165,-3.2522466,-1.9413297
1757683376767,9.89763,-2.9496565,3.2489316,2.4190264,-2.6670377,-2.0402899
1757683376786,10.632649,-2.5737667,3.5936968,2.4190264,-2.6670377,-2.0402899
1757683376786,10.632649,-2.5737667,3.5936968,2.652377,-2.0415115,-2.1135938
1757683376805,10.06283,-2.2625206,3.122039,2.652377,-2.0415115,-2.1135938
1757683376805,10.06283,-2.2625206,3.122039,3.2253685,-1.6578883,-2.0048597
1757683376826,9.495404,-2.5881321,1.5011644,3.2253685,-1.6578883,-2.0048597
1757683376826,9.495404,-2.5881321,1.5011644,3.853338,-1.563815,-1.8362609
1757683376845,8.995016,-2.645593,0.08619126,3.853338,-1.563815,-1.8362609
1757683376846,8.995016,-2.645593,0.08619126,4.2711697,-1.4379768,-1.7482964
1757683376867,8.6574335,-1.0127473,0.019153614,4.2711697,-1.4379768,-1.7482964
1757683376867,8.6574335,-1.0127473,0.019153614,3.7922513,-1.3622295,-1.428203
1757683376884,8.4587145,0.32561144,0.1340753,3.7922513,-1.3622295,-1.428203
1757683376885,8.4587145,0.32561144,0.1340753,2.7146852,-1.3096951,-1.1215485
1757683376906,7.872135,0.866701,-0.21308395,2.7146852,-1.3096951,-1.1215485
1757683376908,7.872135,0.866701,-0.21308395,1.4135422,-1.2131784,-0.9981538
1757683376928,7.560889,1.4580688,-0.81402856,1.4135422,-1.2131784,-0.9981538
1757683376929,7.560889,1.4580688,-0.81402856,0.3200934,-1.0604621,-0.9443977
1757683376946,7.762002,1.2042835,-0.878672,0.3200934,-1.0604621,-0.9443977
1757683376947,7.762002,1.2042835,-0.878672,-0.028099801,-0.89919364,-0.8381071
1757683376969,7.36217,1.8962077,-0.6512229,-0.028099801,-0.89919364,-0.8381071
1757683376970,7.36217,1.8962077,-0.6512229,0.22235495,-0.77824235,-0.61941737
1757683376986,8.135497,2.707842,-0.51235914,0.22235495,-0.77824235,-0.61941737
1757683376987,8.135497,2.707842,-0.51235914,0.72692966,-0.75869465,-0.44959682
1757683377008,9.057265,3.4859576,-0.11971009,0.72692966,-0.75869465,-0.44959682
1757683377010,9.057265,3.4859576,-0.11971009,1.0152581,-0.6951646,-0.36651915
1757683377027,9.124303,4.5058875,0.12928689,1.0152581,-0.6951646,-0.36651915
1757683377029,9.124303,4.5058875,0.12928689,0.7318166,-0.5131268,-0.10873401
1757683377047,10.326192,4.5394063,0.5386954,0.7318166,-0.5131268,-0.10873401
1757683377049,10.326192,4.5394063,0.5386954,0.3323107,-0.43982297,0.007330383
1757683377068,10.891224,3.7684734,0.8475474,0.3323107,-0.43982297,0.007330383
1757683377071,10.891224,3.7684734,0.8475474,-0.22357668,-0.2968805,0.10995574
1757683377088,10.876859,3.2130187,0.9911995,-0.22357668,-0.2968805,0.10995574
1757683377089,10.876859,3.2130187,0.9911995,-0.70005155,-0.13072516,0.17959438
1757683377109,11.123461,3.4811692,1.3838485,-0.70005155,-0.13072516,0.17959438
1757683377110,11.123461,3.4811692,1.3838485,-0.77824235,-0.05375614,0.2883284
1757683377129,11.604695,3.8714242,1.4867992,-0.77824235,-0.05375614,0.2883284
1757683377130,11.604695,3.8714242,1.4867992,-0.6426302,0.064751714,0.43249258
1757683377147,11.973403,3.098097,2.2577322,-0.6426302,0.064751714,0.43249258
1757683377149,11.973403,3.098097,2.2577322,-0.40561453,0.13439035,0.6243043
1757683377169,11.999739,2.56419,2.2098482,-0.40561453,0.13439035,0.6243043
1757683377170,11.999739,2.56419,2.2098482,-0.13316862,0.16493362,0.752586
1757683377188,11.664551,1.6807296,2.5210943,-0.13316862,0.16493362,0.752586
1757683377189,11.664551,1.6807296,2.5210943,0.44837508,0.20525073,0.9944886
1757683377208,10.69011,1.3383588,2.8682537,0.44837508,0.20525073,0.9944886
1757683377210,10.69011,1.3383588,2.8682537,0.516792,0.2883284,1.0885619
1757683377228,9.830592,1.7932571,2.8898015,0.516792,0.2883284,1.0885619
1757683377230,9.830592,1.7932571,2.8898015,0.3371976,0.4129449,1.1618657
1757683377247,10.716447,2.3008277,2.4660277,0.3371976,0.4129449,1.1618657
1757683377248,10.716447,2.3008277,2.4660277,0.22479841,0.48258355,1.3414601
1757683377268,9.68694,0.7374141,3.095703,0.22479841,0.48258355,1.3414601
1757683377269,9.68694,0.7374141,3.095703,0.312763,0.6169739,1.6468927
1757683377289,7.752425,0.830788,3.4524388,0.312763,0.6169739,1.6468927
1757683377290,7.752425,0.830788,3.4524388,0.7171558,0.7171558,1.863139
1757683377309,7.1634517,1.0247183,3.4093432,0.7171558,0.7171558,1.863139
1757683377311,7.1634517,1.0247183,3.4093432,1.5393804,0.6988298,2.1331415
1757683377329,5.097255,0.6679823,4.084508,1.5393804,0.6988298,2.1331415
